price,mileage,year,make,model,trim,distance from zip
"$23,999","83,000 mi.",2015,Land,Rover,"['Range', 'Rover', 'HSE']",(13 mi. from 33186)
"$59,950","21,371 mi.",2015,Mercedes-Benz,SL-Class,"['SL', '550', 'White']",(1 mi. from 33186)
"$12,894","140,759 mi.",2014,Chevrolet,Camaro,['SS'],(1 mi. from 33186)
"$13,000","87,458 mi.",2014,Ford,Mustang,[],(1 mi. from 33186)
"$23,995","89,857 mi.",2014,Mercedes-Benz,M-Class,"['ML', '63', 'ML']",(26 mi. from 33186)
"$10,995","131,675 mi.",2013,Audi,A6,"['4dr', 'Sedan', 'quattro']",(13 mi. from 33186)
"$29,886","96,406 mi.",2013,BMW,6-Series,"['650i', 'Gran', 'Coupe']",(26 mi. from 33186)
"$4,994","156,834 mi.",2012,Mercedes-Benz,C-Class,"['C', '250']",(1 mi. from 33186)
"$7,499","203,989 mi.",2012,Toyota,Camry,['XLE'],(1 mi. from 33186)
"$8,899","74,836 mi.",2012,Mercedes-Benz,GLK-Class,"['GLK', '350']",(1 mi. from 33186)
"$8,925","189,404 mi.",2012,Lexus,CT,"['200h', 'FWD', '4dr']",(26 mi. from 33186)
Inquire,"17,888 mi.",2023,Hyundai,Elantra,"['Hybrid', 'Blue']",delivers to 33186
"$37,520","40,974 mi.",2022,Lexus,RX,"['RX', '350']",delivers to 33186
"$18,899","17,560 mi.",2021,Volkswagen,Tiguan,['S'],(12 mi. from 33186)
"$21,491","7,939 mi.",2021,Chevrolet,Trailblazer,['LT'],(10 mi. from 33186)
"$23,591","36,442 mi.",2021,Toyota,RAV4,['LE'],delivers to 33186
"$31,995","72,586 mi.",2021,Chevrolet,Silverado,"['1500', 'RST']",(18 mi. from 33186)
"$32,729","26,049 mi.",2021,Lexus,NX,"['NX', '300', 'F']",delivers to 33186
"$42,000","32,563 mi.",2021,GMC,Sierra,"['1500', 'SLT']",(18 mi. from 33186)
Inquire,"14,907 mi.",2021,Toyota,Highlander,['L'],delivers to 33186
"$10,995","100,317 mi.",2020,Volkswagen,Jetta,['R-Line'],(26 mi. from 33186)
"$32,000","33,350 mi.",2020,Tesla,Model,"['3', 'Performance']",delivers to 33186
Inquire,"66,890 mi.",2019,Mercedes-Benz,GLC,['300'],delivers to 33186
"$15,591","40,568 mi.",2018,Buick,Encore,['Preferred'],(10 mi. from 33186)
Inquire,"27,483 mi.",2018,Toyota,RAV4,['XLE'],delivers to 33186
"$12,699","23,688 mi.",2014,Cadillac,ATS,['Standard'],(15 mi. from 33186)
"$22,990",800 mi.,2023,INFINITI,Q50,['LUXE'],(18 mi. from 33186)
"$25,998","26,213 mi.",2023,Honda,Accord,['EX'],(8 mi. from 33186)
"$25,999","3,659 mi.",2023,Nissan,Rogue,['SV'],(18 mi. from 33186)
"$27,595","6,665 mi.",2023,Mazda,CX-50,"['Premium', 'Plus']",(10 mi. from 33186)
"$37,983","11,038 mi.",2023,Dodge,Charger,['GT'],(8 mi. from 33186)
"$38,213","9,420 mi.",2023,Honda,Pilot,"['EX-L', '7', 'Passenger']",(18 mi. from 33186)
"$58,991","7,068 mi.",2023,INFINITI,QX80,"['PREMIUM', 'SELECT']",(10 mi. from 33186)
Inquire,"9,128 mi.",2023,Toyota,Tacoma,['SR5'],delivers to 33186
Inquire,"7,201 mi.",2023,Acura,TLX,"['A-Spec', 'Package']",(18 mi. from 33186)
"$18,990","21,763 mi.",2022,Chevrolet,Equinox,['LS'],(27 mi. from 33186)
"$24,214","20,755 mi.",2022,Honda,Civic,['Sport'],(8 mi. from 33186)
"$25,295","42,479 mi.",2022,Honda,CR-V,"['Hybrid', 'EX-L']",(10 mi. from 33186)
"$36,295","27,503 mi.",2022,Mercedes-Benz,C-Class,"['C', '300']",(18 mi. from 33186)
"$37,995","13,733 mi.",2022,Mercedes-Benz,GLC,['300'],delivers to 33186
"$51,707","12,923 mi.",2022,Mercedes-Benz,GLE,['350'],(26 mi. from 33186)
"$84,499","21,458 mi.",2022,Cadillac,Escalade,['Sport'],(26 mi. from 33186)
Inquire,"18,925 mi.",2022,Subaru,Outback,"['2.5i', 'Premium']",(18 mi. from 33186)
Inquire,"8,430 mi.",2022,Acura,ILX,"['w/Premium/A-SPEC', 'Package']",(18 mi. from 33186)
Inquire,"9,351 mi.",2022,Toyota,Tacoma,['SR5'],(26 mi. from 33186)
Inquire,"30,915 mi.",2022,Toyota,Corolla,['LE'],(26 mi. from 33186)
"$18,998","26,627 mi.",2021,Nissan,Altima,['SV'],delivers to 33186
"$21,740","20,613 mi.",2021,Nissan,Altima,['SR'],(26 mi. from 33186)
